endpoint,phecode_string,phecode_category,Age+Sex,Age+Sex+MedicalHistory,delta_agesex,sign_agesex,delta_median_agesex,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events,sign_agg,label
phecode_108-4,Malignant neoplasm of the kidney,Neoplasms,"0.683 (0.673, 0.697)","0.715 (0.701, 0.728)","0.031 (0.023, 0.039)",+,0.031,"0.688 (0.652, 0.722)","0.777 (0.742, 0.803)","0.09 (0.064, 0.12)",0.09,+,363,UKB: + | AoU: +,++
phecode_108-41,"Malignant neoplasm of kidney, except pelvis",Neoplasms,"0.684 (0.675, 0.696)","0.717 (0.707, 0.729)","0.033 (0.022, 0.044)",+,0.033,"0.69 (0.662, 0.723)","0.783 (0.754, 0.809)","0.092 (0.059, 0.117)",0.092,+,326,UKB: + | AoU: +,++
phecode_108-5,Malignant neoplasm of the bladder,Neoplasms,"0.75 (0.74, 0.758)","0.755 (0.746, 0.764)","0.005 (0.002, 0.009)",+,0.005,"0.774 (0.748, 0.798)","0.814 (0.792, 0.834)","0.042 (0.032, 0.051)",0.042,+,376,UKB: + | AoU: +,++
phecode_109,"Malignant neoplasm of the eye, brain and other parts of central nervous system",Neoplasms,"0.609 (0.594, 0.621)","0.726 (0.712, 0.746)","0.117 (0.105, 0.132)",+,0.117,"0.599 (0.57, 0.622)","0.693 (0.666, 0.718)","0.095 (0.05, 0.129)",0.095,+,567,UKB: + | AoU: +,++
phecode_109-3,Malignant neoplasm of brain,Neoplasms,"0.615 (0.598, 0.628)","0.758 (0.741, 0.768)","0.143 (0.128, 0.158)",+,0.143,"0.623 (0.591, 0.663)","0.714 (0.673, 0.737)","0.09 (0.047, 0.13)",0.09,+,341,UKB: + | AoU: +,++
phecode_110,Malignant neoplasm of the endocrine glands,Neoplasms,"0.547 (0.527, 0.565)","0.631 (0.602, 0.652)","0.084 (0.057, 0.109)",+,0.084,"0.579 (0.551, 0.604)","0.715 (0.681, 0.739)","0.135 (0.101, 0.175)",0.135,+,583,UKB: + | AoU: +,++
phecode_110-1,Malignant neoplasm of the thyroid,Neoplasms,"0.563 (0.534, 0.583)","0.634 (0.609, 0.66)","0.072 (0.038, 0.119)",+,0.072,"0.589 (0.559, 0.621)","0.718 (0.663, 0.741)","0.125 (0.059, 0.175)",0.125,+,367,UKB: + | AoU: +,++
phecode_112,Malignant neoplasm of other and ill-defined sites,Neoplasms,"0.661 (0.657, 0.663)","0.698 (0.695, 0.701)","0.038 (0.034, 0.04)",+,0.038,"0.603 (0.595, 0.607)","0.594 (0.589, 0.599)","-0.008 (-0.011, -0.005)",-0.008,-,15123,UKB: + | AoU: -,+-
phecode_114,Neuroendocrine tumors,Neoplasms,"0.589 (0.569, 0.608)","0.723 (0.705, 0.742)","0.133 (0.115, 0.16)",+,0.133,"0.649 (0.633, 0.668)","0.712 (0.688, 0.736)","0.06 (0.029, 0.092)",0.06,+,705,UKB: + | AoU: +,++
phecode_114-4,Carcinoid tumors,Neoplasms,"0.63 (0.586, 0.679)","0.721 (0.683, 0.769)","0.091 (0.038, 0.135)",+,0.091,"0.677 (0.648, 0.743)","0.725 (0.676, 0.785)","0.043 (-0.05, 0.123)",0.043,ns,102,UKB: + | AoU: ns,+ns
phecode_114-6,Pheochromocytoma (including adrenal gland neoplasms),Neoplasms,"0.58 (0.556, 0.599)","0.748 (0.723, 0.772)","0.168 (0.139, 0.189)",+,0.168,"0.636 (0.617, 0.652)","0.733 (0.713, 0.761)","0.098 (0.071, 0.128)",0.098,+,451,UKB: + | AoU: +,++
phecode_116,Secondary malignant neoplasm,Neoplasms,"0.642 (0.639, 0.645)","0.748 (0.744, 0.752)","0.106 (0.102, 0.109)",+,0.106,"0.704 (0.695, 0.717)","0.769 (0.756, 0.777)","0.062 (0.051, 0.077)",0.062,+,1717,UKB: + | AoU: +,++
phecode_116-1,Secondary malignancy of lymph nodes,Neoplasms,"0.602 (0.597, 0.607)","0.693 (0.688, 0.702)","0.091 (0.085, 0.097)",+,0.091,"0.672 (0.653, 0.692)","0.778 (0.758, 0.803)","0.104 (0.085, 0.129)",0.104,+,875,UKB: + | AoU: +,++
phecode_116-2,Secondary malignancy of respiratory organs,Neoplasms,"0.64 (0.632, 0.65)","0.82 (0.815, 0.825)","0.18 (0.171, 0.186)",+,0.18,"0.678 (0.656, 0.71)","0.841 (0.825, 0.859)","0.162 (0.14, 0.181)",0.162,+,625,UKB: + | AoU: +,++
phecode_116-3,Secondary malignant neoplasm of digestive systems,Neoplasms,"0.643 (0.634, 0.65)","0.79 (0.782, 0.798)","0.147 (0.138, 0.157)",+,0.147,"0.686 (0.659, 0.713)","0.816 (0.786, 0.833)","0.128 (0.09, 0.165)",0.128,+,493,UKB: + | AoU: +,++
phecode_116-4,Secondary malignant neoplasm of liver,Neoplasms,"0.648 (0.641, 0.655)","0.814 (0.809, 0.818)","0.167 (0.16, 0.172)",+,0.167,"0.687 (0.669, 0.712)","0.818 (0.803, 0.843)","0.129 (0.103, 0.164)",0.129,+,546,UKB: + | AoU: +,++
phecode_116-5,Secondary malignancy of brain/spine,Neoplasms,"0.622 (0.611, 0.631)","0.841 (0.835, 0.85)","0.22 (0.209, 0.229)",+,0.22,"0.65 (0.607, 0.682)","0.84 (0.817, 0.87)","0.188 (0.164, 0.231)",0.188,+,329,UKB: + | AoU: +,++
phecode_116-6,Secondary malignancy of bone,Neoplasms,"0.671 (0.662, 0.679)","0.824 (0.817, 0.831)","0.154 (0.147, 0.16)",+,0.154,"0.701 (0.673, 0.73)","0.842 (0.824, 0.861)","0.139 (0.118, 0.172)",0.139,+,633,UKB: + | AoU: +,++
phecode_120,Hemo onc - by cell of origin,Neoplasms,"0.653 (0.645, 0.658)","0.647 (0.641, 0.653)","-0.007 (-0.013, 0.001)",ns,-0.007,"0.609 (0.598, 0.626)","0.642 (0.622, 0.659)","0.033 (0.017, 0.046)",0.033,+,1577,UKB: ns | AoU: +,ns+
phecode_120-1,Myeloid,Neoplasms,"0.657 (0.649, 0.668)","0.681 (0.67, 0.69)","0.024 (0.016, 0.03)",+,0.024,"0.557 (0.544, 0.579)","0.617 (0.594, 0.642)","0.057 (0.033, 0.082)",0.057,+,906,UKB: + | AoU: +,++
phecode_120-2,Lymphoid,Neoplasms,"0.66 (0.652, 0.667)","0.645 (0.634, 0.656)","-0.015 (-0.025, -0.007)",-,-0.015,"0.696 (0.672, 0.722)","0.737 (0.717, 0.764)","0.04 (0.013, 0.072)",0.04,+,506,UKB: - | AoU: +,-+
phecode_120-21,Mature B-cell,Neoplasms,"0.665 (0.656, 0.676)","0.649 (0.635, 0.659)","-0.017 (-0.025, -0.008)",-,-0.017,"0.72 (0.689, 0.737)","0.76 (0.736, 0.794)","0.041 (0.017, 0.066)",0.041,+,413,UKB: - | AoU: +,-+
phecode_121,Leukemia,Neoplasms,"0.675 (0.662, 0.687)","0.679 (0.667, 0.69)","0.005 (-0.007, 0.018)",ns,0.005,"0.691 (0.667, 0.715)","0.741 (0.71, 0.776)","0.049 (0.025, 0.085)",0.049,+,346,UKB: ns | AoU: +,ns+
phecode_121-1,Acute leukemia,Neoplasms,"0.669 (0.646, 0.699)","0.771 (0.751, 0.786)","0.103 (0.075, 0.118)",+,0.103,"0.642 (0.585, 0.702)","0.768 (0.732, 0.84)","0.123 (0.064, 0.186)",0.123,+,148,UKB: + | AoU: +,++
phecode_121-12,Acute myeloid leukemia,Neoplasms,"0.675 (0.651, 0.705)","0.776 (0.753, 0.803)","0.101 (0.082, 0.122)",+,0.101,"0.663 (0.6, 0.732)","0.757 (0.705, 0.857)","0.094 (0.02, 0.182)",0.094,+,102,UKB: + | AoU: +,++
phecode_121-2,Chronic leukemia,Neoplasms,"0.685 (0.668, 0.699)","0.662 (0.647, 0.678)","-0.023 (-0.034, -0.012)",-,-0.023,"0.742 (0.693, 0.787)","0.753 (0.719, 0.8)","0.011 (-0.019, 0.044)",0.011,ns,189,UKB: - | AoU: ns,-ns
phecode_121-21,Chronic lymphoid leukemia,Neoplasms,"0.69 (0.678, 0.703)","0.666 (0.651, 0.68)","-0.024 (-0.038, -0.011)",-,-0.024,"0.75 (0.711, 0.784)","0.789 (0.751, 0.837)","0.04 (-0.005, 0.092)",0.04,ns,154,UKB: - | AoU: ns,-ns
phecode_122,Lymphoma,Neoplasms,"0.652 (0.641, 0.663)","0.653 (0.641, 0.663)","0 (-0.008, 0.008)",ns,0,"0.696 (0.672, 0.716)","0.726 (0.7, 0.746)","0.03 (0.002, 0.05)",0.03,+,586,UKB: ns | AoU: +,ns+
phecode_122-1,Hodgkin lymphoma,Neoplasms,"0.582 (0.549, 0.616)","0.649 (0.61, 0.69)","0.064 (0.032, 0.101)",+,0.064,"0.676 (0.626, 0.74)","0.738 (0.659, 0.776)","0.066 (-0.017, 0.138)",0.066,ns,109,UKB: + | AoU: ns,+ns
phecode_122-2,Non-Hodgkin lymphoma,Neoplasms,"0.654 (0.644, 0.665)","0.66 (0.647, 0.67)","0.005 (-0.004, 0.014)",ns,0.005,"0.696 (0.672, 0.716)","0.726 (0.699, 0.746)","0.03 (0.002, 0.049)",0.03,+,586,UKB: ns | AoU: +,ns+
phecode_122-21,Follicular lymphoma,Neoplasms,"0.619 (0.597, 0.642)","0.609 (0.582, 0.634)","-0.009 (-0.039, 0.015)",ns,-0.009,"0.729 (0.691, 0.77)","0.805 (0.753, 0.847)","0.073 (0.019, 0.118)",0.073,+,140,UKB: ns | AoU: +,ns+
phecode_122-22,Diffuse large B-cell lymphoma*,Neoplasms,"0.675 (0.661, 0.69)","0.706 (0.689, 0.721)","0.031 (0.018, 0.046)",+,0.031,"0.69 (0.651, 0.747)","0.786 (0.739, 0.829)","0.096 (0.05, 0.145)",0.096,+,132,UKB: + | AoU: +,++
phecode_124,Myeloproliferative disorder,Neoplasms,"0.649 (0.639, 0.661)","0.677 (0.662, 0.691)","0.028 (0.015, 0.04)",+,0.028,"0.573 (0.55, 0.605)","0.628 (0.604, 0.66)","0.056 (0.028, 0.076)",0.056,+,889,UKB: + | AoU: +,++
phecode_124-5,Essential thrombocythemia,Neoplasms,"0.616 (0.591, 0.643)","0.667 (0.644, 0.694)","0.052 (0.019, 0.077)",+,0.052,"0.546 (0.525, 0.576)","0.603 (0.581, 0.636)","0.057 (0.014, 0.095)",0.057,+,582,UKB: + | AoU: +,++
phecode_124-7,Chronic myeloproliferative disease,Neoplasms,"0.658 (0.623, 0.68)","0.37 (0.338, 0.402)","-0.284 (-0.333, -0.233)",-,-0.284,"0.692 (0.66, 0.724)","0.263 (0.235, 0.286)","-0.426 (-0.474, -0.382)",-0.426,-,364,UKB: - | AoU: -,--
phecode_125,"Other malignant neoplasms of lymphoid, hematopoietic and related tissue",Neoplasms,"0.573 (0.544, 0.629)","0.639 (0.607, 0.676)","0.067 (0.017, 0.103)",+,0.067,"0.606 (0.594, 0.622)","0.645 (0.627, 0.663)","0.038 (0.016, 0.06)",0.038,+,1389,UKB: + | AoU: +,++
phecode_130,"Cancer (solid tumor, excluding BCC)",Neoplasms,"0.64 (0.637, 0.642)","0.647 (0.645, 0.649)","0.007 (0.006, 0.008)",+,0.007,"0.691 (0.686, 0.698)","0.696 (0.69, 0.703)","0.005 (0.001, 0.01)",0.005,+,7552,UKB: + | AoU: +,++
phecode_132,Sequelae of cancer,Neoplasms,"0.725 (0.72, 0.731)","0.814 (0.808, 0.823)","0.09 (0.084, 0.097)",+,0.09,"0.646 (0.634, 0.655)","0.781 (0.769, 0.796)","0.136 (0.114, 0.148)",0.136,+,1736,UKB: + | AoU: +,++
phecode_135,Benign neoplasm of the head and neck,Neoplasms,"0.558 (0.55, 0.566)","0.66 (0.651, 0.667)","0.101 (0.089, 0.11)",+,0.101,"0.566 (0.544, 0.588)","0.693 (0.672, 0.721)","0.123 (0.099, 0.159)",0.123,+,679,UKB: + | AoU: +,++
phecode_135-1,Benign neoplasm of the oral cavity,Neoplasms,"0.501 (0.485, 0.519)","0.597 (0.58, 0.613)","0.096 (0.077, 0.113)",+,0.096,"0.605 (0.566, 0.65)","0.673 (0.628, 0.733)","0.072 (0.031, 0.111)",0.072,+,208,UKB: + | AoU: +,++
phecode_135-5,Benign neoplasm of the paranasal sinus and nasal cavity,Neoplasms,"0.572 (0.561, 0.582)","0.689 (0.682, 0.698)","0.117 (0.106, 0.134)",+,0.117,"0.556 (0.516, 0.593)","0.712 (0.679, 0.743)","0.154 (0.092, 0.213)",0.154,+,370,UKB: + | AoU: +,++
phecode_135-6,Benign neoplasm of vocal cord or larynx,Neoplasms,"0.566 (0.534, 0.594)","0.677 (0.639, 0.707)","0.113 (0.073, 0.155)",+,0.113,"0.657 (0.592, 0.711)","0.774 (0.727, 0.816)","0.116 (0.055, 0.167)",0.116,+,115,UKB: + | AoU: +,++
phecode_136,Benign neoplasm of the digestive organs,Neoplasms,"0.592 (0.589, 0.595)","0.651 (0.648, 0.653)","0.059 (0.057, 0.061)",+,0.059,"0.655 (0.65, 0.661)","0.688 (0.682, 0.695)","0.033 (0.025, 0.039)",0.033,+,9183,UKB: + | AoU: +,++
phecode_136-2,Benign neoplasm of stomach,Neoplasms,"0.622 (0.617, 0.626)","0.743 (0.737, 0.749)","0.121 (0.116, 0.127)",+,0.121,"0.64 (0.627, 0.654)","0.768 (0.756, 0.78)","0.128 (0.117, 0.143)",0.128,+,1160,UKB: + | AoU: +,++
phecode_136-4,"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms,"0.596 (0.594, 0.599)","0.643 (0.639, 0.646)","0.047 (0.043, 0.05)",+,0.047,"0.658 (0.653, 0.664)","0.682 (0.676, 0.69)","0.024 (0.017, 0.03)",0.024,+,8799,UKB: + | AoU: +,++
phecode_136-41,Benign neoplasm of the colon,Neoplasms,"0.61 (0.608, 0.613)","0.653 (0.65, 0.656)","0.042 (0.039, 0.046)",+,0.042,"0.683 (0.678, 0.69)","0.7 (0.691, 0.707)","0.017 (0.008, 0.022)",0.017,+,7591,UKB: + | AoU: +,++
phecode_136-42,Benign neoplasm of rectum and anus,Neoplasms,"0.59 (0.586, 0.594)","0.648 (0.642, 0.652)","0.058 (0.054, 0.062)",+,0.058,"0.608 (0.6, 0.617)","0.662 (0.65, 0.67)","0.054 (0.041, 0.063)",0.054,+,4029,UKB: + | AoU: +,++
phecode_136-8,Benign neoplasm of the pancreas,Neoplasms,"0.645 (0.589, 0.693)","0.638 (0.553, 0.692)","-0.01 (-0.075, 0.042)",ns,-0.01,"0.764 (0.73, 0.793)","0.768 (0.737, 0.814)","0.007 (-0.057, 0.054)",0.007,ns,120,UKB: ns | AoU: ns,nsns
phecode_138,Benign neoplasm of the skin,Neoplasms,"0.521 (0.517, 0.523)","0.688 (0.686, 0.691)","0.168 (0.163, 0.171)",+,0.168,"0.59 (0.583, 0.595)","0.658 (0.65, 0.663)","0.069 (0.061, 0.076)",0.069,+,9421,UKB: + | AoU: +,++
phecode_138-1,"Nevus, non-neoplastic",Neoplasms,"0.539 (0.53, 0.548)","0.668 (0.659, 0.679)","0.129 (0.118, 0.143)",+,0.129,"0.659 (0.65, 0.67)","0.74 (0.731, 0.748)","0.082 (0.07, 0.092)",0.082,+,2716,UKB: + | AoU: +,++
phecode_138-2,Melanocytic nevi*,Neoplasms,"0.537 (0.534, 0.541)","0.702 (0.699, 0.705)","0.165 (0.161, 0.168)",+,0.165,"0.576 (0.566, 0.583)","0.703 (0.697, 0.708)","0.127 (0.117, 0.135)",0.127,+,6557,UKB: + | AoU: +,++
phecode_139,Benign sarcoma-related cancers,Neoplasms,"0.484 (0.479, 0.49)","0.622 (0.618, 0.626)","0.139 (0.132, 0.146)",+,0.139,"0.594 (0.589, 0.601)","0.634 (0.628, 0.641)","0.04 (0.031, 0.046)",0.04,+,10843,UKB: + | AoU: +,++
phecode_139-1,Benign neoplams of the bone and/or cartilage,Neoplasms,"0.456 (0.432, 0.479)","0.637 (0.601, 0.668)","0.181 (0.149, 0.219)",+,0.181,"0.587 (0.532, 0.641)","0.62 (0.579, 0.675)","0.034 (-0.007, 0.08)",0.034,ns,203,UKB: + | AoU: ns,+ns
phecode_139-3,Benign neoplasm of other connective and soft tissue,Neoplasms,"0.534 (0.513, 0.554)","0.638 (0.621, 0.656)","0.105 (0.086, 0.132)",+,0.105,"0.601 (0.595, 0.607)","0.644 (0.638, 0.651)","0.044 (0.035, 0.05)",0.044,+,10046,UKB: + | AoU: +,++
phecode_139-4,Benign neoplasm of peripheral nerves*,Neoplasms,"0.436 (0.407, 0.458)","0.637 (0.612, 0.671)","0.203 (0.168, 0.264)",+,0.203,"0.627 (0.597, 0.657)","0.734 (0.699, 0.768)","0.107 (0.049, 0.165)",0.107,+,257,UKB: + | AoU: +,++
phecode_139-5,Lipoma,Neoplasms,"0.518 (0.513, 0.522)","0.626 (0.622, 0.631)","0.109 (0.101, 0.113)",+,0.109,"0.59 (0.575, 0.608)","0.676 (0.662, 0.69)","0.086 (0.061, 0.102)",0.086,+,1709,UKB: + | AoU: +,++
phecode_139-53,Lipoma of other skin subcutaneous tissue,Neoplasms,"0.524 (0.516, 0.532)","0.609 (0.601, 0.617)","0.085 (0.072, 0.094)",+,0.085,"0.589 (0.549, 0.619)","0.651 (0.622, 0.679)","0.066 (0.022, 0.097)",0.066,+,392,UKB: + | AoU: +,++
phecode_139-6,Hemangioma and lymphangioma,Neoplasms,"0.522 (0.513, 0.532)","0.638 (0.63, 0.644)","0.116 (0.106, 0.126)",+,0.116,"0.65 (0.639, 0.66)","0.711 (0.7, 0.72)","0.059 (0.049, 0.067)",0.059,+,3802,UKB: + | AoU: +,++
phecode_139-61,Hemangioma,Neoplasms,"0.522 (0.512, 0.531)","0.641 (0.626, 0.651)","0.119 (0.103, 0.135)",+,0.119,"0.651 (0.642, 0.662)","0.714 (0.703, 0.724)","0.062 (0.052, 0.07)",0.062,+,3782,UKB: + | AoU: +,++
phecode_140,Benign neoplasm of the breast,Neoplasms,"0.793 (0.783, 0.804)","0.802 (0.792, 0.814)","0.009 (0.002, 0.014)",+,0.009,"0.692 (0.677, 0.704)","0.73 (0.714, 0.742)","0.038 (0.013, 0.058)",0.038,+,669,UKB: + | AoU: +,++
phecode_142,Lump or mass in breast or nonspecific abnormal breast exam,Neoplasms,"0.755 (0.752, 0.758)","0.808 (0.806, 0.811)","0.053 (0.051, 0.055)",+,0.053,"0.74 (0.736, 0.744)","0.707 (0.7, 0.715)","-0.033 (-0.042, -0.026)",-0.033,-,6070,UKB: + | AoU: -,+-
phecode_142-1,Lump or mass in breast,Neoplasms,"0.743 (0.739, 0.747)","0.807 (0.804, 0.81)","0.064 (0.061, 0.067)",+,0.064,"0.711 (0.704, 0.716)","0.681 (0.672, 0.69)","-0.03 (-0.037, -0.021)",-0.03,-,4609,UKB: + | AoU: -,+-
phecode_142-2,Abnormal mammogram,Neoplasms,"0.744 (0.721, 0.774)","0.788 (0.758, 0.803)","0.043 (0.01, 0.072)",+,0.043,"0.784 (0.776, 0.792)","0.797 (0.784, 0.804)","0.012 (0.001, 0.024)",0.012,+,1742,UKB: + | AoU: +,++
phecode_142-21,Mammographic microcalcification,Neoplasms,"0.744 (0.722, 0.768)","0.789 (0.773, 0.807)","0.044 (0.019, 0.068)",+,0.044,"0.772 (0.751, 0.8)","0.784 (0.755, 0.799)","0.01 (-0.014, 0.027)",0.01,ns,360,UKB: + | AoU: ns,+ns
phecode_144,Gynecological benign neoplasms,Neoplasms,"0.638 (0.632, 0.641)","0.659 (0.653, 0.662)","0.021 (0.017, 0.025)",+,0.021,"0.547 (0.535, 0.556)","0.704 (0.688, 0.712)","0.157 (0.146, 0.164)",0.157,+,2652,UKB: + | AoU: +,++
phecode_144-1,Benign neoplasms of external female genital organs and cervix,Neoplasms,"0.648 (0.639, 0.66)","0.67 (0.66, 0.679)","0.022 (0.014, 0.028)",+,0.022,"0.514 (0.494, 0.541)","0.714 (0.688, 0.748)","0.2 (0.168, 0.233)",0.2,+,414,UKB: + | AoU: +,++
phecode_144-13,Benign neoplasms of the cervix,Neoplasms,"0.658 (0.649, 0.668)","0.683 (0.672, 0.692)","0.024 (0.016, 0.031)",+,0.024,"0.52 (0.493, 0.545)","0.705 (0.668, 0.741)","0.186 (0.155, 0.224)",0.186,+,334,UKB: + | AoU: +,++
phecode_144-2,Benign neoplasms of the uterus,Neoplasms,"0.646 (0.641, 0.651)","0.667 (0.662, 0.671)","0.021 (0.017, 0.025)",+,0.021,"0.55 (0.539, 0.558)","0.703 (0.688, 0.71)","0.153 (0.143, 0.161)",0.153,+,2257,UKB: + | AoU: +,++
phecode_144-21,Leiomyoma of uterus,Neoplasms,"0.687 (0.682, 0.694)","0.709 (0.704, 0.714)","0.022 (0.019, 0.026)",+,0.022,"0.55 (0.539, 0.557)","0.696 (0.681, 0.704)","0.146 (0.136, 0.153)",0.146,+,2247,UKB: + | AoU: +,++
phecode_144-3,Benign neoplasms of the ovary,Neoplasms,"0.452 (0.437, 0.47)","0.555 (0.539, 0.573)","0.103 (0.071, 0.128)",+,0.103,"0.558 (0.527, 0.593)","0.706 (0.666, 0.75)","0.143 (0.084, 0.209)",0.143,+,220,UKB: + | AoU: +,++
phecode_146,Benign neoplasm of the genitourinary system,Neoplasms,"0.814 (0.811, 0.818)","0.914 (0.91, 0.917)","0.1 (0.097, 0.103)",+,0.1,"0.772 (0.731, 0.801)","0.781 (0.744, 0.808)","0.01 (-0.019, 0.034)",0.01,ns,278,UKB: + | AoU: ns,+ns
phecode_148,"Benign neoplasm of the eye, brain and other parts of central nervous system",Neoplasms,"0.586 (0.577, 0.595)","0.624 (0.612, 0.637)","0.038 (0.029, 0.048)",+,0.038,"0.613 (0.599, 0.629)","0.675 (0.655, 0.693)","0.061 (0.045, 0.083)",0.061,+,1364,UKB: + | AoU: +,++
phecode_148-1,Benign neoplasm of eye,Neoplasms,"0.564 (0.546, 0.577)","0.651 (0.638, 0.66)","0.085 (0.076, 0.102)",+,0.085,"0.671 (0.649, 0.698)","0.719 (0.693, 0.744)","0.047 (0.022, 0.074)",0.047,+,445,UKB: + | AoU: +,++
phecode_148-16,Benign neoplasm of choroid,Neoplasms,"0.569 (0.556, 0.581)","0.658 (0.647, 0.673)","0.09 (0.079, 0.103)",+,0.09,"0.683 (0.658, 0.719)","0.722 (0.694, 0.75)","0.036 (-0.004, 0.062)",0.036,ns,355,UKB: + | AoU: ns,+ns
phecode_148-2,Benign neoplasm of meninges (Meningioma),Neoplasms,"0.642 (0.621, 0.659)","0.667 (0.649, 0.683)","0.024 (0.011, 0.039)",+,0.024,"0.689 (0.646, 0.729)","0.725 (0.698, 0.779)","0.037 (0, 0.083)",0.037,ns,212,UKB: + | AoU: ns,+ns
phecode_148-3,Benign neoplasm of brain,Neoplasms,"0.546 (0.49, 0.602)","0.722 (0.67, 0.774)","0.18 (0.108, 0.247)",+,0.18,"0.525 (0.502, 0.551)","0.673 (0.643, 0.705)","0.149 (0.103, 0.192)",0.149,+,403,UKB: + | AoU: +,++
phecode_149,Benign neoplasm of the endocrine glands,Neoplasms,"0.592 (0.575, 0.603)","0.644 (0.628, 0.657)","0.053 (0.036, 0.064)",+,0.053,"0.577 (0.548, 0.598)","0.683 (0.646, 0.707)","0.108 (0.048, 0.135)",0.108,+,571,UKB: + | AoU: +,++
phecode_149-3,Benign neoplasm of the parathyroid gland,Neoplasms,"0.665 (0.641, 0.691)","0.692 (0.672, 0.71)","0.028 (0.011, 0.046)",+,0.028,"0.653 (0.593, 0.693)","0.789 (0.733, 0.83)","0.14 (0.054, 0.204)",0.14,+,127,UKB: + | AoU: +,++
phecode_149-4,Benign neoplasm of the pituitary gland and craniopharyngeal duct,Neoplasms,"0.541 (0.513, 0.562)","0.492 (0.45, 0.526)","-0.05 (-0.088, -0.002)",-,-0.05,"0.567 (0.525, 0.608)","0.504 (0.461, 0.54)","-0.064 (-0.089, -0.042)",-0.064,-,232,UKB: - | AoU: -,--
phecode_153,Benign neoplasm of other or unspecified sites,Neoplasms,"0.517 (0.496, 0.546)","0.601 (0.581, 0.625)","0.085 (0.061, 0.109)",+,0.085,"0.593 (0.589, 0.597)","0.623 (0.617, 0.628)","0.03 (0.023, 0.035)",0.03,+,13174,UKB: + | AoU: +,++
phecode_160,Nutritional anemias,Blood,"0.561 (0.558, 0.565)","0.697 (0.693, 0.7)","0.136 (0.131, 0.141)",+,0.136,"0.55 (0.541, 0.556)","0.675 (0.665, 0.684)","0.124 (0.113, 0.133)",0.124,+,7483,UKB: + | AoU: +,++
phecode_160-1,Iron deficiency anemia,Blood,"0.557 (0.553, 0.562)","0.695 (0.691, 0.7)","0.138 (0.133, 0.144)",+,0.138,"0.55 (0.539, 0.557)","0.67 (0.66, 0.679)","0.121 (0.108, 0.131)",0.121,+,6763,UKB: + | AoU: +,++
phecode_160-2,Megaloblastic anemia,Blood,"0.588 (0.578, 0.6)","0.749 (0.737, 0.756)","0.161 (0.142, 0.172)",+,0.161,"0.634 (0.61, 0.663)","0.731 (0.707, 0.753)","0.094 (0.064, 0.129)",0.094,+,720,UKB: + | AoU: +,++
phecode_160-4,Other deficiency anemia,Blood,"0.622 (0.595, 0.643)","0.782 (0.762, 0.809)","0.16 (0.134, 0.184)",+,0.16,"0.636 (0.623, 0.65)","0.738 (0.726, 0.75)","0.101 (0.084, 0.118)",0.101,+,1578,UKB: + | AoU: +,++
phecode_161,Hemolytic anemias,Blood,"0.617 (0.591, 0.651)","0.701 (0.679, 0.734)","0.085 (0.054, 0.122)",+,0.085,"0.545 (0.511, 0.584)","0.756 (0.713, 0.796)","0.211 (0.14, 0.248)",0.211,+,191,UKB: + | AoU: +,++
phecode_161-1,Intrinsic (hereditary) hemolytic anemias,Blood,"0.583 (0.549, 0.641)","0.715 (0.679, 0.754)","0.127 (0.068, 0.171)",+,0.127,"0.545 (0.514, 0.584)","0.761 (0.719, 0.802)","0.216 (0.145, 0.253)",0.216,+,189,UKB: + | AoU: +,++
phecode_161-2,Extrinsic (acquired) hemolytic anemias,Blood,"0.647 (0.603, 0.681)","0.699 (0.664, 0.731)","0.054 (0.016, 0.103)",+,0.054,"0.584 (0.514, 0.635)","0.767 (0.734, 0.83)","0.178 (0.126, 0.259)",0.178,+,122,UKB: + | AoU: +,++
phecode_162,Aplastic anemia,Blood,"0.662 (0.649, 0.677)","0.767 (0.751, 0.779)","0.105 (0.083, 0.12)",+,0.105,"0.626 (0.606, 0.649)","0.788 (0.77, 0.802)","0.162 (0.141, 0.188)",0.162,+,1057,UKB: + | AoU: +,++
phecode_162-8,Pancytopenia,Blood,"0.626 (0.589, 0.668)","0.772 (0.745, 0.797)","0.147 (0.11, 0.178)",+,0.147,"0.625 (0.604, 0.647)","0.767 (0.744, 0.781)","0.143 (0.117, 0.167)",0.143,+,1037,UKB: + | AoU: +,++
phecode_164,Anemia,Blood,"0.591 (0.588, 0.594)","0.677 (0.675, 0.68)","0.086 (0.083, 0.089)",+,0.086,"0.531 (0.525, 0.537)","0.626 (0.621, 0.632)","0.096 (0.09, 0.104)",0.096,+,13829,UKB: + | AoU: +,++
phecode_164-1,Microcytic anemia,Blood,"0.558 (0.553, 0.563)","0.695 (0.692, 0.699)","0.138 (0.133, 0.142)",+,0.138,"0.55 (0.539, 0.557)","0.67 (0.66, 0.679)","0.121 (0.108, 0.131)",0.121,+,6763,UKB: + | AoU: +,++
phecode_164-2,Macrocytic anemia,Blood,"0.587 (0.577, 0.603)","0.751 (0.743, 0.76)","0.163 (0.148, 0.177)",+,0.163,"0.636 (0.623, 0.65)","0.732 (0.721, 0.747)","0.095 (0.078, 0.114)",0.095,+,1578,UKB: + | AoU: +,++
