phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+MedicalHistory,delta
Blood,phecode_165,Hemoglobinopathies,"0.601 (0.577, 0.619)","0.578 (0.559, 0.597)","-0.025 (-0.054, 0.013)"
Blood,phecode_165-2,Thalassemia,"0.676 (0.643, 0.725)","0.615 (0.565, 0.649)","-0.066 (-0.121, -0.02)"
Blood,phecode_165-25,Thalassemia minor,"0.698 (0.648, 0.739)","0.608 (0.545, 0.65)","-0.092 (-0.151, -0.008)"
Blood,phecode_165-3,Hemoglobin C trait [Sickle-cell trait],"0.703 (0.678, 0.731)","0.624 (0.587, 0.656)","-0.083 (-0.131, -0.032)"
Blood,phecode_168,"Coagulation defects, purpura and other hemorrhagic conditions","0.601 (0.592, 0.609)","0.71 (0.705, 0.719)","0.11 (0.1, 0.117)"
Blood,phecode_168-1,Hypo-coagulability,"0.656 (0.645, 0.672)","0.733 (0.722, 0.747)","0.077 (0.062, 0.089)"
Blood,phecode_168-12,Hemorrhagic disorder due to intrinsic circulating anticoagulants,"0.718 (0.686, 0.751)","0.886 (0.866, 0.904)","0.168 (0.137, 0.195)"
Blood,phecode_168-15,Acquired coagulation factor deficiency,"0.595 (0.561, 0.63)","0.806 (0.777, 0.831)","0.214 (0.164, 0.251)"
Blood,phecode_168-18,Other nonthrombocytopenic purpura,"0.727 (0.704, 0.743)","0.757 (0.744, 0.776)","0.033 (0.019, 0.051)"
Blood,phecode_168-19,Spontaneous ecchymoses,"0.603 (0.576, 0.632)","0.696 (0.679, 0.724)","0.091 (0.073, 0.127)"
Blood,phecode_168-2,Hyper-coagulability,"0.544 (0.526, 0.556)","0.274 (0.256, 0.29)","-0.269 (-0.291, -0.246)"
Blood,phecode_168-21,Primary hypercoagulable state [Primary thrombophilia],"0.545 (0.528, 0.558)","0.272 (0.253, 0.286)","-0.272 (-0.294, -0.248)"
Blood,phecode_168-211,Activated protein C resistance*,"0.556 (0.529, 0.577)","0.706 (0.666, 0.746)","0.149 (0.099, 0.194)"
Blood,phecode_168-214,Antiphospholipid syndrome*,"0.59 (0.56, 0.627)","0.797 (0.762, 0.821)","0.203 (0.16, 0.248)"
Blood,phecode_168-4,Abnormal coagulation profile,"0.626 (0.615, 0.635)","0.775 (0.759, 0.784)","0.149 (0.137, 0.161)"
Blood,phecode_169,Platelet defects,"0.619 (0.611, 0.626)","0.711 (0.702, 0.719)","0.093 (0.083, 0.103)"
Blood,phecode_169-1,Thrombocytopenia,"0.621 (0.612, 0.629)","0.713 (0.704, 0.721)","0.093 (0.082, 0.102)"
Blood,phecode_169-11,Immune thrombocytopenic purpura [ITP],"0.568 (0.527, 0.608)","0.723 (0.694, 0.752)","0.159 (0.106, 0.205)"
Blood,phecode_169-14,Secondary thrombocytopenia,"0.571 (0.554, 0.593)","0.742 (0.726, 0.763)","0.169 (0.153, 0.193)"
Blood,phecode_170,Decreased white blood cell count,"0.569 (0.56, 0.579)","0.666 (0.655, 0.678)","0.098 (0.085, 0.113)"
Blood,phecode_170-1,Neutropenia,"0.565 (0.555, 0.575)","0.662 (0.651, 0.673)","0.098 (0.083, 0.113)"
Blood,phecode_170-19,Neutropenia NOS,"0.566 (0.551, 0.581)","0.667 (0.647, 0.681)","0.101 (0.079, 0.12)"
Blood,phecode_170-2,Lymphocytopenia,"0.584 (0.56, 0.607)","0.709 (0.678, 0.739)","0.125 (0.095, 0.172)"
Blood,phecode_171,Increased white blood cell count,"0.541 (0.533, 0.553)","0.649 (0.642, 0.654)","0.108 (0.096, 0.115)"
Blood,phecode_171-1,Lymphocytosis (symptomatic),"0.594 (0.558, 0.626)","0.666 (0.634, 0.698)","0.074 (0.033, 0.112)"
Blood,phecode_171-7,Eosinophilia,"0.546 (0.517, 0.58)","0.723 (0.694, 0.747)","0.173 (0.133, 0.212)"
Blood,phecode_171-9,Elevated white blood cell count [Leukocytosis] NOS,"0.541 (0.532, 0.552)","0.666 (0.66, 0.671)","0.126 (0.11, 0.133)"
Blood,phecode_172,Other disorders of white blood cells,"0.55 (0.545, 0.558)","0.661 (0.654, 0.666)","0.11 (0.101, 0.117)"
Blood,phecode_172-2,Genetic anomalies of leukocytes,"0.602 (0.574, 0.644)","0.711 (0.671, 0.746)","0.109 (0.053, 0.147)"
Blood,phecode_174,Diseases of spleen,"0.561 (0.546, 0.583)","0.768 (0.756, 0.78)","0.206 (0.183, 0.228)"
Blood,phecode_174-2,Splenomegaly,"0.571 (0.554, 0.595)","0.787 (0.772, 0.804)","0.213 (0.191, 0.238)"
Blood,phecode_174-7,Infarction of spleen*,"0.538 (0.513, 0.588)","0.769 (0.73, 0.82)","0.231 (0.164, 0.288)"
Blood,phecode_175,Polycythemias,"0.614 (0.594, 0.63)","0.696 (0.674, 0.718)","0.084 (0.057, 0.107)"
Blood,phecode_175-2,Secondary polycythemia,"0.613 (0.593, 0.63)","0.701 (0.678, 0.72)","0.09 (0.065, 0.113)"
Blood,phecode_176,Other diseases of blood and blood-forming organs,"0.522 (0.517, 0.526)","0.588 (0.584, 0.592)","0.066 (0.061, 0.071)"
Blood,phecode_177,Abnormality of the lymph nodes,"0.569 (0.56, 0.578)","0.674 (0.667, 0.681)","0.106 (0.095, 0.116)"
Blood,phecode_177-1,Lymphadenitis,"0.551 (0.522, 0.584)","0.642 (0.616, 0.666)","0.087 (0.052, 0.125)"
Blood,phecode_177-2,Enlargement of lymph nodes [Lymphadenopathy],"0.553 (0.544, 0.561)","0.657 (0.649, 0.664)","0.104 (0.094, 0.115)"
Blood,phecode_177-4,Lymphedema,"0.645 (0.632, 0.661)","0.788 (0.776, 0.8)","0.141 (0.125, 0.159)"
Blood,phecode_179,Immunodeficiencies,"0.567 (0.554, 0.579)","0.824 (0.817, 0.834)","0.257 (0.241, 0.271)"
Blood,phecode_179-1,Hypogammaglobulinemia NOS,"0.642 (0.615, 0.669)","0.811 (0.789, 0.827)","0.169 (0.14, 0.197)"
Blood,phecode_179-9,Immunodeficiency NOS,"0.56 (0.549, 0.573)","0.838 (0.828, 0.849)","0.278 (0.263, 0.297)"
Blood,phecode_180,Other disorders involving the immune mechanism,"0.567 (0.555, 0.58)","0.751 (0.741, 0.765)","0.185 (0.172, 0.197)"
Blood,phecode_181,Autoimmune disease,"0.601 (0.593, 0.608)","0.648 (0.637, 0.657)","0.046 (0.038, 0.056)"
Endo,phecode_200,Disorders of thyroid gland,"0.625 (0.617, 0.63)","0.621 (0.614, 0.626)","-0.005 (-0.01, 0.001)"
Endo,phecode_200-1,Hypothyroidism,"0.624 (0.617, 0.633)","0.655 (0.647, 0.663)","0.031 (0.021, 0.04)"
Endo,phecode_200-12,Hypothyroidism due to drugs or iatrogenic causes,"0.699 (0.672, 0.733)","0.793 (0.772, 0.821)","0.097 (0.056, 0.133)"
Endo,phecode_200-13,Postprocedural hypothyroidism,"0.655 (0.639, 0.667)","0.822 (0.81, 0.834)","0.167 (0.147, 0.187)"
Endo,phecode_200-14,"Hypothyroidism, not specified as secondary","0.623 (0.617, 0.633)","0.655 (0.647, 0.663)","0.031 (0.022, 0.04)"
Endo,phecode_200-2,Goiter,"0.634 (0.625, 0.641)","0.649 (0.643, 0.657)","0.015 (0.004, 0.024)"
Endo,phecode_200-21,Diffuse goiter,"0.638 (0.629, 0.644)","0.631 (0.624, 0.642)","-0.007 (-0.017, 0.007)"
Endo,phecode_200-22,Uninodular goiter [single thyroid nodule],"0.648 (0.64, 0.658)","0.687 (0.676, 0.695)","0.038 (0.025, 0.05)"
Endo,phecode_200-23,Multinodular goiter,"0.684 (0.675, 0.694)","0.718 (0.705, 0.729)","0.033 (0.021, 0.05)"
Endo,phecode_200-3,Thyrotoxicosis [hyperthyroidism],"0.601 (0.588, 0.619)","0.658 (0.639, 0.674)","0.054 (0.034, 0.072)"
Endo,phecode_200-31,Graves' disease [Toxic diffuse goiter],"0.606 (0.587, 0.621)","0.681 (0.648, 0.709)","0.078 (0.046, 0.106)"
Endo,phecode_200-4,Thyroiditis,"0.638 (0.622, 0.655)","0.74 (0.726, 0.753)","0.1 (0.082, 0.124)"
Endo,phecode_200-41,Hashimoto thyroiditis [Chronic lymphocytic thyroiditis],"0.647 (0.629, 0.664)","0.754 (0.741, 0.772)","0.108 (0.089, 0.131)"
Endo,phecode_200-7,Iodine-deficiency related thyroid disorders*,"0.583 (0.555, 0.605)","0.644 (0.615, 0.669)","0.06 (0.024, 0.099)"
Endo,phecode_200-9,Abnormal thyroid function studies,"0.593 (0.577, 0.607)","0.667 (0.647, 0.687)","0.076 (0.055, 0.095)"
Endo,phecode_202,Diabetes mellitus,"0.564 (0.559, 0.571)","0.654 (0.648, 0.662)","0.09 (0.085, 0.097)"
Endo,phecode_202-1,Type 1 diabetes,"0.552 (0.536, 0.572)","0.851 (0.833, 0.86)","0.297 (0.275, 0.322)"
Endo,phecode_202-2,Type 2 diabetes,"0.565 (0.56, 0.572)","0.655 (0.648, 0.662)","0.089 (0.084, 0.096)"
Endo,phecode_202-3,Secondary diabetes,"0.563 (0.538, 0.593)","0.812 (0.777, 0.84)","0.25 (0.214, 0.297)"
Endo,phecode_202-32,Drug or chemical induced diabetes mellitus*,"0.562 (0.537, 0.591)","0.81 (0.772, 0.835)","0.247 (0.209, 0.293)"
Endo,phecode_202-4,Other specified diabetes*,"0.588 (0.577, 0.6)","0.826 (0.814, 0.835)","0.237 (0.22, 0.251)"
Endo,phecode_203,Metabolic syndrome [Dysmetabolic syndrome X],"0.533 (0.517, 0.549)","0.708 (0.688, 0.727)","0.174 (0.152, 0.199)"
Endo,phecode_204,Elevated blood glucose level,"0.593 (0.589, 0.598)","0.656 (0.651, 0.661)","0.063 (0.057, 0.068)"
Endo,phecode_204-1,Impaired fasting glucose,"0.639 (0.627, 0.647)","0.7 (0.691, 0.707)","0.061 (0.048, 0.073)"
Endo,phecode_204-2,Impaired glucose tolerance (oral),"0.594 (0.574, 0.609)","0.676 (0.658, 0.692)","0.082 (0.061, 0.098)"
Endo,phecode_204-4,Prediabetes*,"0.598 (0.592, 0.604)","0.675 (0.667, 0.68)","0.077 (0.066, 0.083)"
Endo,phecode_205,Hypoglycemia,"0.554 (0.544, 0.564)","0.811 (0.801, 0.819)","0.256 (0.245, 0.267)"
Endo,phecode_208,Disorders of parathyroid gland,"0.649 (0.637, 0.663)","0.82 (0.809, 0.828)","0.171 (0.156, 0.185)"
Endo,phecode_208-1,Hypoparathyroidism,"0.62 (0.592, 0.65)","0.837 (0.804, 0.861)","0.218 (0.182, 0.248)"
Endo,phecode_208-2,Hyperparathyroidism,"0.653 (0.642, 0.668)","0.825 (0.813, 0.832)","0.169 (0.154, 0.185)"
Endo,phecode_208-21,Primary hyperparathyroidism,"0.712 (0.691, 0.732)","0.754 (0.727, 0.777)","0.043 (0.016, 0.071)"
Endo,phecode_208-22,Secondary hyperparathyroidism,"0.637 (0.626, 0.65)","0.878 (0.87, 0.888)","0.241 (0.226, 0.255)"
Endo,phecode_209,Disorders of the pituitary gland and its hypothalamic control,"0.527 (0.511, 0.542)","0.639 (0.626, 0.655)","0.111 (0.098, 0.128)"
Endo,phecode_209-1,Pituitary hyperfunction,"0.554 (0.532, 0.571)","0.677 (0.659, 0.693)","0.121 (0.103, 0.139)"
Endo,phecode_209-12,Syndrome of inappropriate secretion of antidiuretic hormone,"0.662 (0.645, 0.68)","0.764 (0.743, 0.783)","0.098 (0.079, 0.12)"
Endo,phecode_209-13,Hyperprolactinemia*,"0.662 (0.634, 0.705)","0.69 (0.643, 0.732)","0.029 (-0.027, 0.083)"
Endo,phecode_209-2,Hypopituitarism,"0.584 (0.547, 0.612)","0.285 (0.239, 0.323)","-0.3 (-0.349, -0.24)"
Endo,phecode_209-22,Hypopituitarism NOS,"0.602 (0.561, 0.636)","0.258 (0.209, 0.306)","-0.347 (-0.404, -0.28)"
Endo,phecode_210,Cushing's syndrome,"0.623 (0.588, 0.66)","0.721 (0.669, 0.768)","0.098 (0.042, 0.169)"
Endo,phecode_211,Disorders of adrenal glands,"0.597 (0.586, 0.609)","0.703 (0.692, 0.714)","0.105 (0.093, 0.12)"
Endo,phecode_211-2,Adrenocortical insufficiency,"0.571 (0.554, 0.594)","0.774 (0.756, 0.793)","0.203 (0.179, 0.225)"
Endo,phecode_211-21,Primary adrenocortical insufficiency,"0.583 (0.551, 0.625)","0.801 (0.749, 0.842)","0.221 (0.136, 0.288)"
Endo,phecode_214,Ovarian dysfunction,"0.538 (0.524, 0.552)","0.689 (0.679, 0.696)","0.149 (0.133, 0.16)"
Endo,phecode_214-1,Primary ovarian failure,"0.716 (0.704, 0.726)","0.683 (0.674, 0.697)","-0.031 (-0.049, -0.014)"
Endo,phecode_214-11,Premature menopause,"0.514 (0.493, 0.549)","0.715 (0.676, 0.748)","0.198 (0.152, 0.235)"
Endo,phecode_215,Testicular dysfunction,"0.53 (0.51, 0.55)","0.703 (0.679, 0.728)","0.175 (0.141, 0.205)"
Endo,phecode_215-1,Testicular hypofunction,"0.531 (0.51, 0.549)","0.701 (0.677, 0.726)","0.173 (0.14, 0.202)"
Endo,phecode_229,Other endocrine disorders,"0.575 (0.571, 0.579)","0.567 (0.562, 0.57)","-0.008 (-0.015, -0.002)"
Metab,phecode_230,Malnutrition and underweight,"0.579 (0.575, 0.582)","0.638 (0.634, 0.642)","0.059 (0.055, 0.063)"
Metab,phecode_230-1,Protein-calorie malnutrition,"0.58 (0.576, 0.585)","0.582 (0.577, 0.588)","0.002 (-0.003, 0.007)"
Metab,phecode_230-2,Abnormal loss of weight and underweight,"0.585 (0.575, 0.593)","0.674 (0.667, 0.683)","0.09 (0.083, 0.098)"
Metab,phecode_230-21,Abnormal weight loss,"0.604 (0.594, 0.614)","0.693 (0.684, 0.699)","0.089 (0.08, 0.095)"
Metab,phecode_230-22,Underweight,"0.545 (0.531, 0.564)","0.684 (0.673, 0.697)","0.139 (0.122, 0.152)"
Metab,phecode_230-3,Anorexia,"0.602 (0.589, 0.616)","0.72 (0.705, 0.733)","0.118 (0.104, 0.132)"
Metab,phecode_230-4,Cachexia,"0.638 (0.619, 0.655)","0.806 (0.783, 0.816)","0.165 (0.141, 0.184)"
Metab,phecode_230-5,Early satiety,"0.607 (0.583, 0.624)","0.708 (0.689, 0.729)","0.102 (0.077, 0.129)"
Metab,phecode_232,Vitamin deficiencies,"0.59 (0.586, 0.595)","0.64 (0.635, 0.645)","0.05 (0.045, 0.056)"
Metab,phecode_232-1,Vitamin A deficiency,"0.645 (0.605, 0.687)","0.578 (0.527, 0.62)","-0.07 (-0.147, -0.003)"
Metab,phecode_232-2,Vitamin B group deficiency,"0.601 (0.591, 0.608)","0.675 (0.667, 0.684)","0.073 (0.067, 0.083)"
Metab,phecode_232-27,Vitamin B12 deficiency,"0.638 (0.61, 0.661)","0.735 (0.715, 0.757)","0.097 (0.072, 0.123)"
Metab,phecode_232-29,Folate deficiency [Vitamin B9],"0.634 (0.613, 0.655)","0.693 (0.669, 0.707)","0.056 (0.034, 0.076)"
Metab,phecode_232-4,Vitamin D deficiency,"0.595 (0.59, 0.601)","0.639 (0.634, 0.644)","0.044 (0.036, 0.051)"
Metab,phecode_234,Other nutritional deficiencies,"0.58 (0.576, 0.585)","0.603 (0.599, 0.607)","0.023 (0.017, 0.028)"
Metab,phecode_236,Overweight and obesity,"0.544 (0.54, 0.547)","0.598 (0.593, 0.604)","0.054 (0.047, 0.062)"
Metab,phecode_236-1,Obesity,"0.544 (0.54, 0.547)","0.598 (0.593, 0.604)","0.054 (0.047, 0.062)"
Metab,phecode_236-11,Morbid obesity,"0.578 (0.572, 0.584)","0.694 (0.688, 0.701)","0.116 (0.108, 0.126)"
Metab,phecode_236-2,Localized adiposity,"0.597 (0.577, 0.619)","0.732 (0.71, 0.747)","0.135 (0.111, 0.162)"
Metab,phecode_237,Abnormal weight gain,"0.601 (0.592, 0.613)","0.684 (0.676, 0.693)","0.082 (0.073, 0.096)"
Metab,phecode_239,Hyperlipidemia,"0.678 (0.674, 0.682)","0.696 (0.691, 0.7)","0.017 (0.014, 0.021)"
Metab,phecode_239-1,Hypercholesterolemia,"0.671 (0.667, 0.674)","0.703 (0.698, 0.707)","0.032 (0.028, 0.036)"
Metab,phecode_239-11,Pure hypercholesterolemia,"0.66 (0.655, 0.664)","0.685 (0.678, 0.689)","0.025 (0.02, 0.029)"
Metab,phecode_239-12,Familial hypercholesterolemia*,"0.599 (0.561, 0.636)","0.666 (0.616, 0.696)","0.061 (-0.001, 0.128)"
Metab,phecode_239-2,Hyperglyceridemia,"0.648 (0.643, 0.652)","0.629 (0.622, 0.634)","-0.019 (-0.028, -0.012)"
Metab,phecode_239-21,Pure hyperglyceridemia,"0.551 (0.537, 0.563)","0.652 (0.641, 0.663)","0.102 (0.083, 0.121)"
Metab,phecode_239-3,Mixed hyperlipidemia,"0.663 (0.659, 0.668)","0.623 (0.616, 0.628)","-0.041 (-0.05, -0.033)"
Metab,phecode_240,Disorders of amino-acid transport and metabolism,"0.538 (0.515, 0.562)","0.709 (0.687, 0.734)","0.169 (0.139, 0.209)"
Metab,phecode_241,Disorders of carbohydrate metabolism,"0.595 (0.575, 0.612)","0.685 (0.661, 0.704)","0.093 (0.075, 0.109)"
Metab,phecode_244,Disorders of lipoprotein metabolism and other lipidemias,"0.593 (0.576, 0.606)","0.658 (0.644, 0.676)","0.067 (0.047, 0.084)"
Metab,phecode_244-4,"Lipodystrophy, not elsewhere classified","0.611 (0.584, 0.636)","0.646 (0.585, 0.685)","0.032 (-0.038, 0.076)"
Metab,phecode_247,Disorders of mineral metabolism and mineral deficiencies,"0.568 (0.562, 0.572)","0.676 (0.672, 0.681)","0.109 (0.103, 0.114)"
Metab,phecode_247-3,Disorder of phosphorus metabolism,"0.59 (0.582, 0.602)","0.796 (0.786, 0.805)","0.205 (0.19, 0.218)"
Metab,phecode_247-4,Disorders of magnesium metabolism,"0.579 (0.569, 0.586)","0.774 (0.766, 0.782)","0.197 (0.188, 0.204)"
Metab,phecode_247-42,Hypomagnesemia*,"0.579 (0.569, 0.586)","0.776 (0.769, 0.783)","0.198 (0.19, 0.206)"
Metab,phecode_247-5,Disorders of calcium metabolism,"0.632 (0.624, 0.637)","0.704 (0.698, 0.711)","0.072 (0.065, 0.082)"
Metab,phecode_247-51,Hypocalcemia,"0.558 (0.544, 0.57)","0.723 (0.712, 0.738)","0.165 (0.151, 0.181)"
Metab,phecode_247-52,Hypercalcemia,"0.643 (0.634, 0.654)","0.714 (0.703, 0.724)","0.07 (0.054, 0.085)"
Metab,phecode_247-7,Disorders of iron metabolism,"0.55 (0.545, 0.555)","0.666 (0.66, 0.673)","0.117 (0.11, 0.124)"
Metab,phecode_247-71,Hemochromatosis,"0.591 (0.55, 0.635)","0.631 (0.603, 0.675)","0.043 (0.002, 0.097)"
Metab,phecode_247-72,Iron deficiency,"0.55 (0.545, 0.556)","0.667 (0.661, 0.674)","0.117 (0.109, 0.125)"
Metab,phecode_248,"Disorders of plasma-protein metabolism, NEC","0.589 (0.575, 0.602)","0.726 (0.709, 0.739)","0.138 (0.118, 0.154)"
Metab,phecode_249,Amyloidosis,"0.705 (0.669, 0.737)","0.75 (0.707, 0.788)","0.044 (0.027, 0.066)"
Metab,phecode_251,Disorders of bilirubin excretion,"0.624 (0.603, 0.644)","0.663 (0.645, 0.684)","0.04 (0.009, 0.065)"
Metab,phecode_251-1,Gilbert syndrome*,"0.665 (0.607, 0.725)","0.688 (0.649, 0.723)","0.02 (-0.016, 0.075)"
Metab,phecode_252,Other and unspecified disorders of metabolism,"0.547 (0.532, 0.562)","0.701 (0.686, 0.714)","0.153 (0.129, 0.176)"
Metab,phecode_256,"Disorders of fluid, electrolyte and acid-base balance","0.587 (0.583, 0.591)","0.681 (0.676, 0.684)","0.094 (0.089, 0.098)"
Metab,phecode_256-1,Hyperosmolality and/or hypernatremia,"0.63 (0.616, 0.642)","0.795 (0.784, 0.806)","0.166 (0.151, 0.179)"
Metab,phecode_256-2,Hyposmolality and/or hyponatremia,"0.617 (0.611, 0.624)","0.732 (0.727, 0.738)","0.114 (0.108, 0.123)"
Metab,phecode_256-3,Mixed disorder of acid-base balance,"0.596 (0.589, 0.606)","0.785 (0.779, 0.789)","0.189 (0.179, 0.196)"
Metab,phecode_256-31,Acidosis,"0.595 (0.588, 0.604)","0.787 (0.781, 0.792)","0.192 (0.184, 0.2)"
Metab,phecode_256-32,Alkalosis,"0.59 (0.577, 0.605)","0.825 (0.811, 0.838)","0.233 (0.217, 0.253)"
Metab,phecode_256-4,Hyperkalemia [Hyperpotassemia],"0.649 (0.642, 0.658)","0.802 (0.795, 0.809)","0.153 (0.143, 0.161)"
Metab,phecode_256-5,Hypokalemia [Hypopotassemia],"0.546 (0.54, 0.551)","0.685 (0.68, 0.692)","0.14 (0.134, 0.146)"
Metab,phecode_256-6,Fluid overload,"0.623 (0.612, 0.634)","0.847 (0.839, 0.856)","0.224 (0.214, 0.235)"
Metab,phecode_256-7,Volume depletion,"0.56 (0.554, 0.564)","0.692 (0.685, 0.699)","0.132 (0.127, 0.139)"
Metab,phecode_256-71,Dehydration,"0.547 (0.54, 0.552)","0.671 (0.664, 0.678)","0.124 (0.116, 0.134)"
Mental,phecode_280,Substance related disorders,"0.614 (0.609, 0.618)","0.548 (0.543, 0.554)","-0.065 (-0.074, -0.057)"
Mental,phecode_280-1,Alcohol use disorders,"0.636 (0.63, 0.643)","0.607 (0.597, 0.617)","-0.028 (-0.041, -0.019)"
Mental,phecode_280-11,Alcohol abuse,"0.661 (0.652, 0.668)","0.664 (0.654, 0.673)","0.003 (-0.013, 0.014)"
Mental,phecode_280-12,Alcohol dependence,"0.64 (0.634, 0.648)","0.627 (0.618, 0.64)","-0.011 (-0.025, 0)"
Mental,phecode_280-13,Alcoholic liver disease,"0.64 (0.615, 0.658)","0.858 (0.841, 0.877)","0.217 (0.195, 0.255)"
Mental,phecode_280-14,Alcoholic pancreatitis,"0.685 (0.654, 0.713)","0.847 (0.815, 0.882)","0.172 (0.124, 0.2)"
Mental,phecode_280-2,Opioid related disorders,"0.615 (0.605, 0.625)","0.707 (0.695, 0.716)","0.091 (0.079, 0.106)"
Mental,phecode_280-22,Opioid dependence,"0.606 (0.593, 0.617)","0.75 (0.74, 0.76)","0.145 (0.128, 0.16)"
Mental,phecode_280-3,Cannabis related disorders,"0.674 (0.667, 0.684)","0.747 (0.739, 0.755)","0.072 (0.064, 0.082)"
Mental,phecode_280-31,Cannabis abuse,"0.7 (0.69, 0.715)","0.788 (0.778, 0.798)","0.088 (0.073, 0.104)"
Mental,phecode_280-4,"Sedative, hypnotic, or anxiolytic related disorders","0.611 (0.586, 0.638)","0.773 (0.75, 0.797)","0.163 (0.113, 0.197)"
Mental,phecode_280-42,"Sedative, hypnotic or anxiolytic-related dependence","0.599 (0.573, 0.643)","0.794 (0.764, 0.821)","0.193 (0.13, 0.236)"
Mental,phecode_280-8,Other psychoactive substance related disorders,"0.619 (0.615, 0.624)","0.548 (0.541, 0.553)","-0.073 (-0.08, -0.064)"
Mental,phecode_280-81,Other psychoactive substance abuse,"0.673 (0.666, 0.679)","0.648 (0.64, 0.656)","-0.024 (-0.035, -0.014)"
Mental,phecode_280-82,Other psychoactive substance dependence,"0.617 (0.612, 0.622)","0.56 (0.554, 0.566)","-0.057 (-0.067, -0.05)"
Mental,phecode_281,"Substance abuse, dependence, and withdrawl","0.614 (0.609, 0.62)","0.557 (0.551, 0.562)","-0.057 (-0.064, -0.05)"
Mental,phecode_281-1,Substance abuse,"0.671 (0.664, 0.677)","0.634 (0.627, 0.64)","-0.037 (-0.049, -0.027)"
Mental,phecode_281-2,Substance dependence,"0.611 (0.606, 0.616)","0.578 (0.573, 0.584)","-0.032 (-0.04, -0.026)"
Mental,phecode_281-21,Substance withdrawal,"0.655 (0.644, 0.675)","0.744 (0.724, 0.761)","0.088 (0.058, 0.109)"
Mental,phecode_282-1,Current tobacco use and nicotine dependence,"0.62 (0.614, 0.625)","0.635 (0.629, 0.641)","0.015 (0.008, 0.024)"
Mental,phecode_283,Other behavioral problems,"0.563 (0.557, 0.568)","0.609 (0.603, 0.614)","0.046 (0.037, 0.053)"
Mental,phecode_283-3,High risk sexual behavior,"0.743 (0.722, 0.759)","0.735 (0.708, 0.759)","-0.007 (-0.036, 0.025)"
Mental,phecode_283-4,Patient's noncompliance with medical treatment and regimen,"0.579 (0.568, 0.586)","0.712 (0.703, 0.721)","0.134 (0.119, 0.149)"
Mental,phecode_283-8,Other problems related to lifestyle,"0.565 (0.552, 0.581)","0.427 (0.411, 0.44)","-0.138 (-0.167, -0.118)"
Mental,phecode_284,Suicide ideation and attempt or self harm,"0.663 (0.651, 0.671)","0.732 (0.72, 0.746)","0.07 (0.055, 0.086)"
Mental,phecode_284-1,Suicidal ideations,"0.664 (0.651, 0.676)","0.703 (0.688, 0.719)","0.04 (0.021, 0.057)"
Mental,phecode_284-2,Suicide and self-inflicted harm,"0.679 (0.664, 0.694)","0.838 (0.823, 0.847)","0.158 (0.139, 0.177)"
Mental,phecode_284-29,Intentional self-harm*,"0.68 (0.664, 0.694)","0.837 (0.822, 0.846)","0.156 (0.138, 0.175)"
Mental,phecode_286,Mood [affective] disorders,"0.56 (0.555, 0.564)","0.614 (0.608, 0.619)","0.055 (0.048, 0.06)"
Mental,phecode_286-1,Bipolar disorder,"0.639 (0.629, 0.647)","0.675 (0.666, 0.688)","0.036 (0.026, 0.052)"
Mental,phecode_286-2,Major depressive disorder,"0.558 (0.552, 0.563)","0.629 (0.623, 0.634)","0.072 (0.064, 0.078)"
Mental,phecode_286-21,"Major depressive disorder, recurrent","0.559 (0.553, 0.563)","0.723 (0.718, 0.73)","0.164 (0.157, 0.173)"
Mental,phecode_286-3,Premenstrual dysphoric disorder,"0.757 (0.743, 0.771)","0.847 (0.833, 0.856)","0.089 (0.075, 0.099)"
Mental,phecode_286-4,Dysthymic disorder,"0.546 (0.533, 0.561)","0.686 (0.672, 0.702)","0.138 (0.117, 0.159)"
Mental,phecode_287,Psychotic disorder,"0.634 (0.623, 0.647)","0.698 (0.687, 0.711)","0.064 (0.047, 0.082)"
Mental,phecode_287-1,Schizophrenia,"0.686 (0.669, 0.703)","0.766 (0.75, 0.778)","0.079 (0.056, 0.106)"
Mental,phecode_287-2,Schizoaffective disorder,"0.659 (0.64, 0.682)","0.776 (0.757, 0.79)","0.114 (0.093, 0.137)"
Mental,phecode_287-4,Delusional disorders,"0.601 (0.587, 0.62)","0.764 (0.745, 0.787)","0.163 (0.134, 0.188)"
Mental,phecode_287-5,Drug-induced psychotic disorder,"0.658 (0.635, 0.682)","0.745 (0.722, 0.78)","0.088 (0.051, 0.137)"
Mental,phecode_288,Anxiety disorders,"0.575 (0.572, 0.58)","0.624 (0.619, 0.629)","0.048 (0.043, 0.055)"
Mental,phecode_288-2,Panic disorder [episodic paroxysmal anxiety],"0.619 (0.61, 0.634)","0.709 (0.693, 0.72)","0.09 (0.068, 0.106)"
Mental,phecode_288-3,Generalized anxiety disorder,"0.593 (0.588, 0.601)","0.653 (0.647, 0.662)","0.06 (0.049, 0.069)"
Mental,phecode_288-4,Phobic disorders,"0.537 (0.518, 0.551)","0.686 (0.669, 0.698)","0.15 (0.121, 0.166)"
Mental,phecode_288-41,Agoraphobia,"0.628 (0.591, 0.663)","0.787 (0.748, 0.816)","0.158 (0.12, 0.198)"
Mental,phecode_289,Obsessive-compulsive disorder,"0.638 (0.611, 0.658)","0.731 (0.704, 0.752)","0.093 (0.067, 0.125)"
